Full Name,Course 1,Course 2,Course 3,Course 4,Course 5,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
Anthony Chen,English,Physics,French,ComputerScience,Lunch,100000,3,2,1,10000
Student0,Physics,English,French,Lunch,ComputerScience,3,100000,2,100000,1
Student1,Lunch,ComputerScience,French,English,Physics,100000,3,2,100000,1
Student2,ComputerScience,English,Physics,Lunch,French,3,100000,2,100000,1
Student3,English,French,Physics,ComputerScience,Lunch,100000,3,2,1,100000
Student4,Lunch,English,French,Physics,ComputerScience,100000,100000,3,2,1
Student5,French,ComputerScience,Lunch,English,Physics,3,2,100000,100000,1
Student6,French,Lunch,Physics,ComputerScience,English,3,100000,2,1,100000
Student7,English,Physics,Lunch,ComputerScience,French,100000,3,100000,2,1
Student8,English,ComputerScience,Lunch,Physics,French,100000,3,100000,2,1
Student9,French,ComputerScience,English,Physics,Lunch,3,2,100000,1,100000
Student10,Lunch,English,Physics,French,ComputerScience,100000,100000,3,2,1
Student11,Lunch,English,ComputerScience,French,Physics,100000,100000,3,2,1
Student12,French,English,ComputerScience,Physics,Lunch,3,100000,2,1,100000
Student13,French,Lunch,English,Physics,ComputerScience,3,100000,100000,2,1
Student14,Physics,English,ComputerScience,French,Lunch,3,100000,2,1,100000
Student15,Physics,French,Lunch,ComputerScience,English,3,2,100000,1,100000
Student16,Lunch,Physics,English,French,ComputerScience,100000,3,100000,2,1
Student17,French,Physics,ComputerScience,English,Lunch,3,2,1,100000,100000
Student18,English,Lunch,ComputerScience,Physics,French,100000,100000,3,2,1
Student19,French,Lunch,ComputerScience,Physics,English,3,100000,2,1,100000
Student20,Physics,Lunch,French,ComputerScience,English,3,100000,2,1,100000
Student21,Physics,French,Lunch,ComputerScience,English,3,2,100000,1,100000
Student22,Lunch,Physics,English,French,ComputerScience,100000,3,100000,2,1
Student23,Lunch,ComputerScience,French,English,Physics,100000,3,2,100000,1
Student24,Physics,ComputerScience,English,French,Lunch,3,2,100000,1,100000
Student25,ComputerScience,English,French,Physics,Lunch,3,100000,2,1,100000
Student26,ComputerScience,English,Lunch,Physics,French,3,100000,100000,2,1
Student27,ComputerScience,French,Lunch,Physics,English,3,2,100000,1,100000
Student28,Lunch,English,French,Physics,ComputerScience,100000,100000,3,2,1
Student29,ComputerScience,Lunch,Physics,French,English,3,100000,2,1,100000
Student30,Lunch,Physics,French,ComputerScience,English,100000,3,2,1,100000
Student31,Lunch,Physics,ComputerScience,French,English,100000,3,2,1,100000
Student32,ComputerScience,English,French,Physics,Lunch,3,100000,2,1,100000
Student33,ComputerScience,Physics,French,Lunch,English,3,2,1,100000,100000
Student34,English,ComputerScience,French,Lunch,Physics,100000,3,2,100000,1
Student35,Physics,French,English,Lunch,ComputerScience,3,2,100000,100000,1
Student36,French,Physics,ComputerScience,English,Lunch,3,2,1,100000,100000
Student37,Physics,English,French,Lunch,ComputerScience,3,100000,2,100000,1
Student38,English,French,Lunch,Physics,ComputerScience,100000,3,100000,2,1
Student39,English,ComputerScience,Physics,Lunch,French,100000,3,2,100000,1
Student40,French,Physics,Lunch,ComputerScience,English,3,2,100000,1,100000
Student41,English,French,Lunch,Physics,ComputerScience,100000,3,100000,2,1
Student42,ComputerScience,Physics,French,English,Lunch,3,2,1,100000,100000
Student43,Physics,English,Lunch,ComputerScience,French,3,100000,100000,2,1
Student44,Physics,French,English,ComputerScience,Lunch,3,2,100000,1,100000
Student45,French,Physics,English,Lunch,ComputerScience,3,2,100000,100000,1
Student46,French,ComputerScience,English,Lunch,Physics,3,2,100000,100000,1
Student47,ComputerScience,English,French,Physics,Lunch,3,100000,2,1,100000
Student48,Physics,English,Lunch,French,ComputerScience,3,100000,100000,2,1
Student49,Lunch,French,Physics,English,ComputerScience,100000,3,2,100000,1
Student50,Physics,ComputerScience,Lunch,French,English,3,2,100000,1,100000
Student51,English,Physics,Lunch,ComputerScience,French,100000,3,100000,2,1
Student52,English,ComputerScience,Physics,Lunch,French,100000,3,2,100000,1
Student53,Lunch,ComputerScience,English,French,Physics,100000,3,100000,2,1
Student54,French,Physics,ComputerScience,Lunch,English,3,2,1,100000,100000
Student55,English,Lunch,ComputerScience,Physics,French,100000,100000,3,2,1
Student56,English,French,Lunch,Physics,ComputerScience,100000,3,100000,2,1
Student57,English,French,ComputerScience,Physics,Lunch,100000,3,2,1,100000
Student58,French,Physics,ComputerScience,Lunch,English,3,2,1,100000,100000
Student59,ComputerScience,Physics,Lunch,English,French,3,2,100000,100000,1
Student60,Physics,ComputerScience,French,Lunch,English,3,2,1,100000,100000
Student61,English,French,Physics,Lunch,ComputerScience,100000,3,2,100000,1
Student62,English,Physics,ComputerScience,French,Lunch,100000,3,2,1,100000
Student63,Physics,English,ComputerScience,Lunch,French,3,100000,2,100000,1
Student64,Lunch,Physics,ComputerScience,French,English,100000,3,2,1,100000
Student65,French,English,Physics,ComputerScience,Lunch,3,100000,2,1,100000
Student66,English,French,ComputerScience,Physics,Lunch,100000,3,2,1,100000
Student67,Lunch,English,French,Physics,ComputerScience,100000,100000,3,2,1
Student68,English,ComputerScience,Lunch,French,Physics,100000,3,100000,2,1
Student69,Lunch,French,Physics,ComputerScience,English,100000,3,2,1,100000
Student70,ComputerScience,English,Lunch,French,Physics,3,100000,100000,2,1
Student71,Physics,Lunch,English,ComputerScience,French,3,100000,100000,2,1
Student72,Physics,French,ComputerScience,English,Lunch,3,2,1,100000,100000
